,Paths,Cooling,Heating
51,../datasets/vectors/00/e1/e5acac34033c43a3157b127e0b88,165281,126134
52,../datasets/vectors/00/e1/f96ef02407f5e3ba3147933984fc,226059,167783
53,../datasets/vectors/00/e2/1e788871561e94e3237ce369f889,481437,343443
54,../datasets/vectors/00/e2/1f1561c00a2aa48e6d783a43a338,89026,72544
55,../datasets/vectors/00/e2/218be8870217bdaf262c1cfbe1b0,57640,47197
56,../datasets/vectors/00/e2/2ffc6bf4c04343f74df0ed9ef979,50687,41991
57,../datasets/vectors/00/e2/32871d62a91af2844a199c16c48e,162576,124050
58,../datasets/vectors/00/e2/3ac2a17dcef1cb1c7236bb62e3c3,79266,65566
59,../datasets/vectors/00/e2/3dd96b4185c5f274a8ba7a68cd30,208182,156742
60,../datasets/vectors/00/e2/422d54d2a89ac91c3ebf5c5c7b86,84290,68111
61,../datasets/vectors/00/e2/4d0e51e37f5d4ceae91dde553bac,106732,85749
62,../datasets/vectors/00/e2/58c7b9acf86570e3bd87f96bf48b,99489,77931
63,../datasets/vectors/00/e2/7177a89e8305f27d470c38235d54,67361,45873
64,../datasets/vectors/00/e2/81492785f164c66471375fc41d2c,383561,276921
65,../datasets/vectors/00/e2/8ce8b049f52931ddc456f4efd4a4,180171,137124
66,../datasets/vectors/00/e2/b48054931c165ff453f4ac8c66e2,67887,55132
67,../datasets/vectors/00/e2/c7da871d98a9ec6e5bde9605d943,14669,15872
68,../datasets/vectors/00/e2/d626ed560838e08726750d4cacc5,46909,40768
69,../datasets/vectors/00/e2/e3fd1aea4d6abf8a0764bee8624d,51220,44841
70,../datasets/vectors/00/e2/f5c9295e24290c103c5523e5a890,58018,49548
71,../datasets/vectors/00/e2/f71d1959e70797f328f21a227f03,42421,37188
72,../datasets/vectors/00/e2/f9cdeeea4e9fc85dd36fed873c71,84966,70007
73,../datasets/vectors/00/e2/feceaef84f8f743c8a18b0ab3f03,87356,69514
74,../datasets/vectors/00/e2/ff76e4f3f3254ee6a3225b779758,153293,117457
75,../datasets/vectors/00/e3/26a005ac5241a8445b815872771c,117925,95052
76,../datasets/vectors/00/e3/37ce454db957680e93b90c35bcd9,72107,58422
77,../datasets/vectors/00/e3/6fd197fbee97934fd62d35237143,356076,258917
78,../datasets/vectors/00/e3/7c6c69db50ef48476e5e0ca2e65b,204067,118161
79,../datasets/vectors/00/e3/7e0a9f1545560e489b3b8e86c477,769675,540788
80,../datasets/vectors/00/e3/87287e75b427e3adcb23fd245722,55878,47474
81,../datasets/vectors/00/e3/8e893786eb91a348e09d2365d275,33843,26615
82,../datasets/vectors/00/e3/9611463f2109e9a1a6faf97b7c5e,54084,38099
83,../datasets/vectors/00/e3/9951103301d3487f2d7513b5ed06,71641,58104
84,../datasets/vectors/00/e3/a29b00609a043143caf726346535,13620,13868
85,../datasets/vectors/00/e3/a9fc5a8c4a36b98458d5b7486917,25765,21591
86,../datasets/vectors/00/e3/b9e3bf18a14870f17483f12ccbec,161591,123172
87,../datasets/vectors/00/e3/eee29f014523528b7895e098f331,101542,66823
88,../datasets/vectors/00/e4/4ae47c8740232344bd42c10a6a6e,485962,346993
89,../datasets/vectors/00/e4/5271b7c684ebc9b6939c7343ce4d,79262,63481
90,../datasets/vectors/00/e4/555a74344a47465d7cdfb72d0b42,35785,31338
91,../datasets/vectors/00/e4/57dac5aa99936ecd44ba4cfcffde,52110,44237
92,../datasets/vectors/00/e4/74bbd0c8831515baa7d1a29eb1b4,1980273,1359000
93,../datasets/vectors/00/e4/87085d9e30f81e26e85b2b6fbfec,75475,62022
94,../datasets/vectors/00/e4/a72d9cc244f37451cf6ee6ae66ad,113070,87668
95,../datasets/vectors/00/e4/a7a2aa9608a775b8c31464a5b333,302131,222879
96,../datasets/vectors/00/e4/b1dc973b9c4de575a177da360992,36080,31657
97,../datasets/vectors/00/e4/c34bf71721d24b8c218de0254375,412930,296786
98,../datasets/vectors/00/e4/ef7746e2234ea98abe836c8914ac,44964,38290
99,../datasets/vectors/00/e4/fa4786d230fff6e11785c6613e0e,534789,380803
100,../datasets/vectors/00/e5/00cad221e0c3f04e4e1ccf057169,414690,300824
101,../datasets/vectors/00/e5/16d7d7ba16cf47b68c7baaef7778,27048,24860
102,../datasets/vectors/00/e5/45bb1a557435d85205a5b8e86fb9,135677,105116
103,../datasets/vectors/00/e5/506631e4b1ed6659cd2b846eb3a8,168714,127311
104,../datasets/vectors/00/e5/6d7a7f9984adcc0dc49b75414ceb,155509,120518
105,../datasets/vectors/00/e5/7a3751790fbb5732233fe7270d66,26962,22923
106,../datasets/vectors/00/e5/8f16d6cff17267f4afce6d6592c3,184839,138227
107,../datasets/vectors/00/e5/a084cbb5ea9c39513fd28604aae1,529342,376709
108,../datasets/vectors/00/e5/a81ec82da8da1aa9b5cd84e8d630,69003,56375
109,../datasets/vectors/00/e5/b3dc3903aabb8a2ee46a98d94332,150287,114354
110,../datasets/vectors/00/e5/bc6f9ea8d1e1e8460416b32fac33,66147,54138
111,../datasets/vectors/00/e5/bfd7d2d8ae743440726c3737a0a3,36610,31957
112,../datasets/vectors/00/e5/cbf5629e5dc1da8bf98fb4ea722e,122098,96667
113,../datasets/vectors/00/e5/ccb0df41b56b7d4abdd4e620411a,96071,75708
114,../datasets/vectors/00/e5/d3f7af295ff2a87636bc966c25ad,125506,96193
115,../datasets/vectors/00/e5/dd22282eddc04be197d652fe0151,40729,36522
116,../datasets/vectors/00/e5/e6ab7da74713ad97ea5340d6eba4,66672,46161
117,../datasets/vectors/00/e5/fed39d0de9bd1c8cd8eb192f1240,50773,43677
118,../datasets/vectors/00/e6/21e614fe1146a55c5ace9fa5713d,49069,41109
119,../datasets/vectors/00/e6/2b0329558b01648009b43e3115f4,62078,51199
120,../datasets/vectors/00/e6/9efb18927a204f75e406e3687f41,1024548,717949
121,../datasets/vectors/00/e6/a777efdc1d37f25718075d6619be,19061,16889
122,../datasets/vectors/00/e6/ad45be4497e868629f4bc459a82b,104872,84145
123,../datasets/vectors/00/e6/e1a5930c8874c1b9b852d70b3fe7,478043,342335
124,../datasets/vectors/00/e6/e48464a3deb901a85dc541d8d314,40431,34846
125,../datasets/vectors/00/e6/e9f7be2041bb64fe60c04ce83678,45902,39638
126,../datasets/vectors/00/e6/eace17fda94ba6ecc4d2daf8a112,93688,74507
127,../datasets/vectors/00/e6/fb345b06d31233583d166e77c202,409423,294629
128,../datasets/vectors/00/e7/1a5d7836315fb36b374cefa84b0d,412786,296333
129,../datasets/vectors/00/e7/2742a7cfa92b5fc564cf581efc53,393358,283990
130,../datasets/vectors/00/e7/31e2d5329acef48d5e93f2dac2e5,59352,49509
131,../datasets/vectors/00/e7/36a0c3329c7cc5d05387d87a50c0,111539,86791
132,../datasets/vectors/00/e7/4aa556846827e0b2ca4b7cb4dd1e,39541,33050
133,../datasets/vectors/00/e7/4fc96d1306193fde7ad5862c7807,347875,253303
134,../datasets/vectors/00/e7/685ebba9680daa13ca9e85e0fd16,111033,87494
135,../datasets/vectors/00/e7/6a05e91f726bb0f90a4232714b47,22213,20082
136,../datasets/vectors/00/e7/b5042f39dfc3bdc8d0a9db6557e2,166140,100186
137,../datasets/vectors/00/e7/b83b00b988e1f6e104729c498168,31552,25151
138,../datasets/vectors/00/e7/bd4c8f0e406d1b9dd60bbcc52993,170437,129334
139,../datasets/vectors/00/e7/c0829c7b0582b22f0e12d9334554,107524,83838
140,../datasets/vectors/00/e7/d3fca78850ebf71664557a251ec5,163843,124584
141,../datasets/vectors/00/e7/e693d9a6b2311036f21eb9918e66,168620,127779
142,../datasets/vectors/00/e7/f45908e036c70d6c0102d162c8aa,39360,34328
143,../datasets/vectors/00/e8/17a3e3f19d770ab1af12501820da,93867,74215
144,../datasets/vectors/00/e8/21bb0ab46cecda11c9c053a0a113,409423,294629
145,../datasets/vectors/00/e8/4a6708c3d93e0948e14f3aa8420a,30637,27955
146,../datasets/vectors/00/e8/7f6851c4d782de05bd60b6397bb2,120059,93076
147,../datasets/vectors/00/e8/838e4a6336aa3ed16ac22cf0a7a7,105747,83447
148,../datasets/vectors/00/e8/c20d3ae2474656ce7c861c54dc1c,104384,81764
149,../datasets/vectors/00/e8/d0a83e112f280df5f6bc59506623,119791,95947
150,../datasets/vectors/00/e8/d2fdb6d016b517899e4594e91528,39529,34416
151,../datasets/vectors/00/e8/e204ecd87453736ca388a1986eae,36488,28966
152,../datasets/vectors/00/e8/e70079a391f8edefd716462f161f,44914,38927
153,../datasets/vectors/00/e9/0803d60840267f4c2f0d7c3b92ae,74847,50324
154,../datasets/vectors/00/e9/0d4210e8585d578ea466b265a06a,1252295,868742
155,../datasets/vectors/00/e9/111d68f886533a1f9dddce5b3a10,523617,375275
156,../datasets/vectors/00/e9/13a0a8d15c3b68d70155d9627e34,96505,77541
157,../datasets/vectors/00/e9/27e32e2bb3ed3ef921ed25e1dd41,54365,46203
158,../datasets/vectors/00/e9/48ab09f3d3d73b27725a6385069b,94463,75168
159,../datasets/vectors/00/e9/58a9aeeeece74ac14e7019eda5fb,77631,62632
160,../datasets/vectors/00/e9/5ebf6d8592959a71454411d348bf,92713,72444
161,../datasets/vectors/00/e9/82f1a3e6080e1d0f7d7563df8acd,145342,112006
162,../datasets/vectors/00/e9/a0065cc938d8e72d8d09db831e48,183414,138912
163,../datasets/vectors/00/e9/a8e10dea178696063d98109f12d8,116047,89393
164,../datasets/vectors/00/e9/ae873546f0fcaee164c542933f7a,471519,338771
165,../datasets/vectors/00/e9/bedce93b2ee067c0cea6a20f05e9,223901,166971
166,../datasets/vectors/00/e9/ce74539dfe011607dcc4df90263e,126269,100050
167,../datasets/vectors/00/e9/fc613bd1843ea2c9b55a0370ed9c,31857,29732
168,../datasets/vectors/00/ea/0af713afff41fbcdb4d188b188ef,16770,15281
169,../datasets/vectors/00/ea/0d24a2c374fce5cdb1d23920c95b,36609,28879
170,../datasets/vectors/00/ea/159fe640b8fbb3466c0d83ed2ae4,77058,62388
171,../datasets/vectors/00/ea/162ff08065248274d352376d9daa,24965,23013
172,../datasets/vectors/00/ea/1efbcbd9c8818ed73a51e34d05bb,39377,35723
173,../datasets/vectors/00/ea/1fd27f0893178cb1dc2315f13f96,74069,59561
174,../datasets/vectors/00/ea/2739c8410e1c17efe0b106b9921e,36451,31353
175,../datasets/vectors/00/ea/30d47a5f4172d3d58797efde2a01,68315,58757
176,../datasets/vectors/00/ea/3319fa883a701140946f1f001bff,77408,61882
177,../datasets/vectors/00/ea/33a2e25c6a0aabb8c81d4b8f65c7,487685,347531
178,../datasets/vectors/00/ea/3fd43af9cec7da42c74f2d65a188,54102,45530
179,../datasets/vectors/00/ea/50433d2854d8dad4dda123c86750,108519,84981
180,../datasets/vectors/00/ea/5d7dd70e6d4bbbdd38a8dec7007a,83350,67124
181,../datasets/vectors/00/ea/768d5cd524d23ca06b866ea9e09c,322817,234419
182,../datasets/vectors/00/ea/7c18c2b3e64ca5af102c9d790e46,72322,58817
183,../datasets/vectors/00/ea/7f2fc9d6bb971f192d7a1f938e38,55644,47103
184,../datasets/vectors/00/ea/80c3e64ea9f16fe6af3edb271a09,56751,47398
185,../datasets/vectors/00/ea/870c91a843d7bf49334a80d41317,749219,526239
186,../datasets/vectors/00/ea/92106684be0533ffff23bfc91d2d,129185,99445
187,../datasets/vectors/00/ea/9e4bbd8a4e49367cc17522e8d86c,246502,183055
188,../datasets/vectors/00/ea/a9a2eb5abbbc4adbaacad7d964eb,107063,83251
189,../datasets/vectors/00/ea/c8d7dc10b3ee1b5abd1689445abb,23687,20256
190,../datasets/vectors/00/ea/d276bd94c9b100ceba2510bc6262,133844,104653
191,../datasets/vectors/00/ea/e30bbf0c8708b6494b0db27d2c03,18579,18404
192,../datasets/vectors/00/ea/f85406a1963a17bd62126a3548f4,47288,34621
193,../datasets/vectors/00/eb/063655c330509e64ca33b41306ce,65086,45622
194,../datasets/vectors/00/eb/07d5351bbd1070ad2de13bbaf8a2,383502,277301
195,../datasets/vectors/00/eb/22bfbad4e4f36bc98609694f6659,76508,62655
196,../datasets/vectors/00/eb/2fad7f9669449781132faf4ff1f6,225741,167024
197,../datasets/vectors/00/eb/3b2406181f67cee60787e50697cf,290291,213872
198,../datasets/vectors/00/eb/3bc97bf59384fa2afa4bf34e06f6,1019095,712653
199,../datasets/vectors/00/eb/5d5228373ddd3d1b021f47a04146,35719,27501
200,../datasets/vectors/00/eb/8142cb919a5457991ffa19008fae,42726,36729
201,../datasets/vectors/00/eb/8acfc58c7106823972d33402e55a,51466,42742
202,../datasets/vectors/00/eb/9169562594621b2a4758c629ebad,44025,37743
203,../datasets/vectors/00/eb/a29df8dd7e63659c6df94686cf66,78766,62882
204,../datasets/vectors/00/eb/be2b8df5477b55347d9ad5e5625d,28509,26495
205,../datasets/vectors/00/eb/d0c3463046c08f2cd496ef17ba6a,79206,63777
206,../datasets/vectors/00/eb/db5913b298ec41218bdbcfeb5e22,74064,60203
207,../datasets/vectors/00/eb/ed96d238f3a640a3dae98e83cf88,340342,246961
208,../datasets/vectors/00/ec/0d22306e638de9ceb86447c15dc7,134744,82394
209,../datasets/vectors/00/ec/2e5d435376190e43b6eef525efa6,95403,77951
210,../datasets/vectors/00/ec/30f736370a2aa23faa7a3cdefb3a,142894,88628
211,../datasets/vectors/00/ec/36627bd0eb1c878c7da7575a970a,224644,168097
212,../datasets/vectors/00/ec/46c2259a9e0041e32ac44e923d79,36735,32538
213,../datasets/vectors/00/ec/6977786212d388be73e0683e51c5,60749,49782
214,../datasets/vectors/00/ec/7363cee7a58a115494e3fa914028,46415,40344
215,../datasets/vectors/00/ec/7eeb1470fc0073250e849d9812e2,44405,38965
216,../datasets/vectors/00/ec/8f3003633dc14bf32f87e92f2681,53731,45761
217,../datasets/vectors/00/ec/8fc66286a5ede5f20247124edacb,220244,163991
218,../datasets/vectors/00/ec/9a33341636e024ee3f11f1e01903,83586,66922
219,../datasets/vectors/00/ec/a32c7f52bf428b7e259c8d6548c5,70058,56895
220,../datasets/vectors/00/ec/b91df095ead28420026135e3f4fa,68034,56868
221,../datasets/vectors/00/ec/ba4dcceeacf3225299fdec7aa1a3,589034,309253
222,../datasets/vectors/00/ec/c313fa523d94f71ed15c21d18b72,48894,41773
223,../datasets/vectors/00/ec/e3593c0e0fedbb53cdac91698a07,74224,60432
224,../datasets/vectors/00/ec/f43dbd15bc28ec8e7815de09b136,135433,104512
225,../datasets/vectors/00/ed/02b951009042a341fc39de917316,22770,19730
226,../datasets/vectors/00/ed/0bbbb9e60e75f522c18b233f0d80,78308,62975
227,../datasets/vectors/00/ed/0db15a1228ca56b0c7e8534ce62b,86096,68537
228,../datasets/vectors/00/ed/0ef2a7a1b48149afd11993de0342,52567,44010
229,../datasets/vectors/00/ed/29b453eb246a1b047c28decd5fbd,111513,86401
230,../datasets/vectors/00/ed/2c74ceef4edeacefcc133d4b4e5e,31919,28623
231,../datasets/vectors/00/ed/3834f3900f2fb9c4a7217c5f12d5,51651,43772
232,../datasets/vectors/00/ed/446ff6f71b50fbdf2fc19e197083,52920,44476
233,../datasets/vectors/00/ed/45aef4be2ff77255f39fe9549951,78311,63999
234,../datasets/vectors/00/ed/4bbd375d0f4df613956b0554462d,84030,66758
235,../datasets/vectors/00/ed/4e9a1d04defe75231a5163aac96a,36908,32647
236,../datasets/vectors/00/ed/6499d83cf71792444e1390cba942,126059,97613
237,../datasets/vectors/00/ed/7cb21e14395cddee3d0b060de4b4,353345,255718
238,../datasets/vectors/00/ed/8134c80c34bcc7dac74c2ad75e5c,64245,53266
239,../datasets/vectors/00/ed/9aeefe50cc6c15942aeeb44b5a0e,38320,29470
240,../datasets/vectors/00/ed/a34b199b864327c1394feef11665,67292,55819
241,../datasets/vectors/00/ed/aef0053e197371b37ce69b97ab69,115968,90720
242,../datasets/vectors/00/ed/b3b850fa678b875c20c3fa34800b,80173,65338
243,../datasets/vectors/00/ed/b53977de80030b983fbcc323e85d,45067,39052
244,../datasets/vectors/00/ed/ba3e50ef2f97c4100339d2b1fa43,361461,261430
245,../datasets/vectors/00/ed/e59bb8688810121d2e00a9b121b5,52526,43612
246,../datasets/vectors/00/ed/fec8216fe621c5c7d31e16a755f0,221009,163615
247,../datasets/vectors/00/ee/061e2c78f96c0f774799c8d8ac91,37953,28648
248,../datasets/vectors/00/ee/3bee8283fc26e57bc7138ddaa504,525638,376630
249,../datasets/vectors/00/ee/53fddaba611dd414b1f0948b2a5a,95981,77623
250,../datasets/vectors/00/ee/6c1c4c06fcc4035dd0e76938b8c9,116465,90552
251,../datasets/vectors/00/ee/6fa2f2c9e50e9fb25c5c53e67c8c,199453,148326
252,../datasets/vectors/00/ee/88e866c6d9cbca327150667cfae2,95185,75419
253,../datasets/vectors/00/ee/8b9ce1b4c304d774e42fd72bcac4,85650,69472
254,../datasets/vectors/00/ee/90c74ccd463ce2f8e2cc3dcc0994,229546,169068
255,../datasets/vectors/00/ee/9cdcbdb8673af1b63b4d82201b82,159346,125223
256,../datasets/vectors/00/ee/a3c3f4905c8accd91096b3286f73,101663,80209
257,../datasets/vectors/00/ee/a99ac411ddec0d1ea2a50d9892fb,50066,36589
258,../datasets/vectors/00/ee/bd5cf65dd92dd2bcafe2ac1735a5,67764,55279
259,../datasets/vectors/00/ee/c216d2181b35d23e30480e5521f9,18722,17276
260,../datasets/vectors/00/ee/e98afa9eb660777cd91f252aff92,62108,42812
261,../datasets/vectors/00/ee/ec8251e552401473f780a615eeef,56963,47668
262,../datasets/vectors/00/ee/ed58040a8230c91ba41f9aee4180,60916,41658
263,../datasets/vectors/00/ee/edf5be35dc7e1901dd146be9d0b3,83000,67723
264,../datasets/vectors/00/ef/1a9d05ae4abf909047129f8c105e,80678,64803
265,../datasets/vectors/00/ef/3fa4fab958c4be9844850e23d7e6,150846,114573
266,../datasets/vectors/00/ef/71013f31d541ffcbc6e7ef3e8637,743332,525871
267,../datasets/vectors/00/ef/7dad41197b2215a60bdb76ae55e7,50168,42768
268,../datasets/vectors/00/ef/87cbcbfa847d197aba4eb2b00a21,924065,647045
269,../datasets/vectors/00/ef/9a9f84a42ab0fcd940e8e9133612,92260,73205
270,../datasets/vectors/00/ef/b90e36f33183b601ed9b3a4e0717,100348,79043
271,../datasets/vectors/00/ef/cdcb888629d733953f3d951724a0,76935,61828
272,../datasets/vectors/00/ef/d9fc9c796c6388d87741acc3d35b,108219,84234
273,../datasets/vectors/00/ef/eff2541fb744c01b4d43f2494dc7,92502,74423
274,../datasets/vectors/00/ef/f637f34401f67e6783930d4bdb6e,151642,115811
275,../datasets/vectors/00/f0/0f58752a3f8824e7c206fd74f058,71004,57559
276,../datasets/vectors/00/f0/23903c8bbefca63f6f6abb79a4c9,40648,35109
277,../datasets/vectors/00/f0/30641d4bd82fec6ab7f8e7753de5,198232,147734
278,../datasets/vectors/00/f0/31ebf574341902b5b221d9bf0503,70498,56854
279,../datasets/vectors/00/f0/329612506da9c4d548ab6b976bfd,55329,47832
280,../datasets/vectors/00/f0/33984c8381ca8d2dc3e03823b7f5,126026,98409
281,../datasets/vectors/00/f0/34d02d111c2cd67f6d15684b011b,109040,85818
282,../datasets/vectors/00/f0/3e9a26c7f10a0c08f21656de0e32,58879,40964
283,../datasets/vectors/00/f0/445a196ca3ce5ecc250d60f117fe,54932,46770
284,../datasets/vectors/00/f0/4750e07fb45832428d96dd313c4b,96494,76528
285,../datasets/vectors/00/f0/47a203e8bc6f00dba88eb9154a99,30919,24914
286,../datasets/vectors/00/f0/5cadb3a39491623a5dfb6a98b96f,39197,29794
287,../datasets/vectors/00/f0/603f4e3a5cd62389c2085fde55dd,120999,93677
288,../datasets/vectors/00/f0/7f71707fcf0e7bf76126cd6ac9fd,158157,120134
289,../datasets/vectors/00/f0/957211b6752ec6fcce3991343ebe,98387,78307
290,../datasets/vectors/00/f0/ba74838e5003abd1a32327fbc6bb,98010,76490
291,../datasets/vectors/00/f0/cbfc57da848bd10a99cf5c8edf18,26606,24561
292,../datasets/vectors/00/f0/cf8bca1fc5e206b1aa605e0b7f79,41568,35487
293,../datasets/vectors/00/f0/db262a26b2f5845812a607327858,215960,159683
294,../datasets/vectors/00/f0/e7631330bb1a5731f8f8ee3b73f5,159588,122259
295,../datasets/vectors/00/f0/fb5b117982e7cb6aedd321386261,40703,35650
296,../datasets/vectors/00/f0/fc5a247b6627ef944fbe9568db4c,90318,72632
297,../datasets/vectors/00/f1/02fd483f508a5c9454b4b5aa4b6b,1474117,1018300
298,../datasets/vectors/00/f1/0b7ad4b4c377fa75cc1752531b27,51185,37298
299,../datasets/vectors/00/f1/10dc193316170ed4baca45151f02,90007,71677
300,../datasets/vectors/00/f1/11366718817872401da9e4f8083a,161908,122277
301,../datasets/vectors/00/f1/162b971d5e1f915472d7608f084f,58402,47781
302,../datasets/vectors/00/f1/193901694afa10fd9c7223702c22,93299,75139
303,../datasets/vectors/00/f1/480beaabe881164bbd0507e3e94c,64569,53491
304,../datasets/vectors/00/f1/4a7513f5ba2a7b95bb4731938b24,15761,17176
305,../datasets/vectors/00/f1/5887bbba67053180baddb9ae22b6,245407,182024
306,../datasets/vectors/00/f1/5be0b2d75ee750bfe4390d10c2fb,526930,377306
307,../datasets/vectors/00/f1/61563df41b3bf8a9d5e478f9f81b,28635,22773
308,../datasets/vectors/00/f1/743ddef0b606d6be2cfccb49ddf7,15366,13926
309,../datasets/vectors/00/f1/751c4579d7bea39ce8e0285ec0d1,105721,83532
310,../datasets/vectors/00/f1/768b57d8d3027deb83fe5f1c08c0,29963,28436
311,../datasets/vectors/00/f1/777f198e8d0635a24deecb0f877d,121913,95648
312,../datasets/vectors/00/f1/86605f2ed6a64cbc285eaac04628,135731,105202
313,../datasets/vectors/00/f1/8913a41bc3230fefb95907d1894d,78847,64172
314,../datasets/vectors/00/f1/8f3170753a34be5d2bb1419f0625,51108,43727
315,../datasets/vectors/00/f1/8f55f1bc976fd7b1c7666830936f,31782,28553
316,../datasets/vectors/00/f1/938d66dac97b36936f866c558039,468909,338360
317,../datasets/vectors/00/f1/a35e4acce7e31addde62468c04b3,50351,36898
318,../datasets/vectors/00/f1/b4209bdbe5c8183e4301babfd294,26516,21655
319,../datasets/vectors/00/f1/cb78e7805f274cc5880a9444929a,228126,170587
320,../datasets/vectors/00/f1/d17533c625616df4910e3c21f050,452027,325677
321,../datasets/vectors/00/f1/f56c25c16cdc15a6ebf7c255ff9a,157847,119878
322,../datasets/vectors/00/f1/fbd3ea459f18fb1c095320ad3690,43915,33561
323,../datasets/vectors/00/f2/134b9220df17ea74f5db0f90c064,47622,39749
324,../datasets/vectors/00/f2/1ab9510b0ee3140fadf1657c779c,45920,38986
325,../datasets/vectors/00/f2/28a4509aa1d52da03aa206a77ecc,68826,46956
326,../datasets/vectors/00/f2/2eba4aaf655f3417d9d2278ed4c9,240447,179508
327,../datasets/vectors/00/f2/2f65361ce52314a879e89a5787f3,80891,64826
328,../datasets/vectors/00/f2/31e1493c370ad7729f6fc0879bf2,392254,285794
329,../datasets/vectors/00/f2/3dbd0340e628dfabd60a03da9f7e,63122,52894
330,../datasets/vectors/00/f2/47e029f5505d5cf2850e159622d4,36930,32853
331,../datasets/vectors/00/f2/53d1074b5be081535aed3eeb6de9,807047,571559
332,../datasets/vectors/00/f2/5da7c0350c134252f420c5a8ef35,49633,43051
333,../datasets/vectors/00/f2/8b3151c70c9babdf4c2c5a1b5647,994989,696978
334,../datasets/vectors/00/f2/bdc37ea0a4eec9fafabc40478c5d,359169,259913
335,../datasets/vectors/00/f2/c0b04df8b344cc21c8fb7b6aff3d,15226,15870
